Drug,Slang
Cocaine,Quarters
Cocaine,Raw
Cocaine,Ready Rock
Cocaine,Red Caps
Cocaine,RIP (Rest in Peace)
Cocaine,Roca
Cocaine,Rock
Cocaine,Rock Attack
Cocaine,Rocks of Hell
Cocaine,Rocky III
Cocaine,Rooster
Cocaine,Rox
Cocaine,Roxanne
Cocaine,Roz
Cocaine,Schoolcraft
Cocaine,Scotty
Cocaine,Scramble
Cocaine,Scruples
Cocaine,Seven-Up
Cocaine,Sherms
Cocaine,Sight
Cocaine,Ball
Cocaine,Slab
Cocaine,Sleet
Cocaine,Smoke
Cocaine,Speed Boat
Cocaine,Square Time Bomb
Cocaine,Stone
Cocaine,Sugar Block
Cocaine,Takeover (mixed with fentanyl)
Cocaine,Teeth
Cocaine,Tension
Cocaine,Tissue
Cocaine,Top Gun
Cocaine,Troop
Cocaine,Ultimate
Cocaine,Uzi
Cocaine,Wave
Cocaine,White Ball
Cocaine,White Ghost
Cocaine,White Sugar
Cocaine,White
Cocaine,Tornado
Cocaine,Wrecking Crew
Cocaine,Yahoo
Cocaine,Yale
Cocaine,Yimyom
Cocaine,Fentanyl and Fentanyl Derivatives
Cocaine,Apache
Cocaine,Birria (mixed with heroin)
Cocaine,Butter
Cocaine,China Girl
Cocaine,China Town
Cocaine,China White
Cocaine,Chinese
Cocaine,Chinese Food
Cocaine,Crazy
Cocaine,Crazy One
Cocaine,Dance Fever
Cocaine,Dragon
Cocaine,Dragon’s Breath
Cocaine,Facebook (mixed with heroin in pill form)
Cocaine,Fent
Cocaine,Fenty
Cocaine,Fire
Cocaine,Friend
Cocaine,Girl
Cocaine,Goodfella
Cocaine,Great Bear
Cocaine,He-Man
Cocaine,Jackpot
Cocaine,King Ivory
Cocaine,Lollipop
Cocaine,Murder 8
Cocaine,Poison
Cocaine,Shoes
Cocaine,Tango & Cash
Cocaine,Toe Tag Dope
Cocaine,White Girl
GHB,G
GHB,GEEB
GHB,Georgia Home Boy
GHB,Grievous Bodily Harm
GHB,Gina
GHB,Liquid E
GHB,Liquid X
GHB,Scoop
Heroin,A-Bomb (mixed with marijuana)
Heroin,Achivia
Heroin,Adormidera
Heroin,Antifreeze
Heroin,Aunt Hazel
Heroin,Avocado
Heroin,Azucar
Heroin,Bad Seed
Heroin,Ballot
Heroin,Basketball
Heroin,Basura
Heroin,Beast
Heroin,Beyonce
Heroin,Big Bag
Heroin,Big H
Heroin,Big Harry
Heroin,Bird
Heroin,Birdie Powder
Heroin,Black
Heroin,Black
Heroin,Bitch
Heroin,Black Goat
Heroin,Black Olives
Heroin,Black Paint
Heroin,Black Pearl
Heroin,Black Sheep
Heroin,Black Tar
Heroin,Blanco
Heroin,Blue
Heroin,Blow Dope
Heroin,Blue Hero
Heroin,Bombita (mixed with cocaine)
Heroin,Bombs Away
Heroin,Bonita
Heroin,Boy
Heroin,Bozo
Heroin,Brea Negra
Heroin,Brick Gum
Heroin,Brown
Heroin,Brown Crystal
Heroin,Brown Rhine
Heroin,Brown Sugar
Heroin,Bubble Gum
Heroin,Burrito
Heroin,Caballo
Heroin,Caballo Negro
Heroin,Caca
Heroin,Café
Heroin,Capital
Heroin,H
Heroin,Carga
Heroin,Caro
Heroin,Cement
Heroin,Chapopote
Heroin,Charlie
Heroin,Charlie Horse
Heroin,Cheese
Heroin,Chicle
Heroin,Chiclosa
Heroin,China
Heroin,China Cat
Heroin,China White
Heroin,Chinese Food
Heroin,Chinese Red
Heroin,Chip
Heroin,Chiva
Heroin,Chiva Blanca
Heroin,Chivones
Heroin,Chocolate
Heroin,Chocolate Balls
Heroin,Choko
Heroin,Chorizo
Heroin,Chutazo
Heroin,Coco
Heroin,Coffee
Heroin,Comida
Heroin,Crown Crap
Heroin,Curley Hair
Heroin,Dark
Heroin,Dark Girl
Heroin,Dead on Arrival
Heroin,(DOA)
Heroin,Diesel
Heroin,Diesel
Heroin,Dirt
Heroin,Dog Food
Heroin,Doggie
Heroin,Doojee
Heroin,Dope
Heroin,Dorado
Heroin,Down
Heroin,Downtown
Heroin,Dreck
Heroin,Dynamite
Heroin,Dyno
Heroin,El Diablo
Heroin,Engines
Heroin,Fairy Dust
Heroin,Flea Powder
Heroin,Foolish Powder
Heroin,Galloping Horse
Heroin,Gamot
Heroin,Gato
Heroin,George
Heroin,4
Heroin,DEA Intelligence Report
Heroin,Smack
Heroin,Girl
Heroin,Golden Girl
Heroin,Good & Plenty
Heroin,Good H
Heroin,Goma
Heroin,Gorda
Heroin,Gras
Heroin,Grasin
Heroin,Gravy
Heroin,Gum
Heroin,H
